content,is_fraud
"Crédit rapide 5000€ sans justificatif. Réponse en 2h",1
"Prêt urgent 10000€ accordé. Cliquez pour finaliser",1
"Héritage 500000€ en attente. Contactez avocat maître Dubois",1
"Investissement garanti sans risque. Doublez votre épargne",1
"Envoyez de l'argent pour débloquer votre récompense",1
"Votre compte sera suspendu si vous n'agissez pas",1
"Offre urgente doublez votre argent rapidement",1
"Confirmez vos informations bancaires maintenant",1
"Cliquez ici pour vérifier votre compte immédiatement",1
"Erreur de transfert renvoyez l'argent immédiatement",1
"Vous avez gagné de l'argent envoyez vos informations",1
"Envoyez votre code OTP pour sécuriser votre compte",1
"Votre compte sera bloqué si vous n'agissez pas",1
"Envoyez votre code OTP maintenant",1
"Mandat postal de 3500€ à votre nom. Confirmez pour retrait",1
"Votre IBAN a été compromis. Communiquez nouveau RIB",1
"Dernière chance! Validez avant minuit ou perdez tout",1
"Salut ça va? On se voit ce soir?",0
"RDV dentiste demain 14h n'oublie pas!",0
"Le repas est prêt à table!",0
"Je t'aime mon amour tu me manques",0
"Merci pour ton cadeau c'était super",0
"Je suis en retard arrive dans 10 min",0
"Peux-tu acheter du pain en rentrant?",0
"Bonjour réunion reportée à 15h",0
"Ta commande #FR789456 est en préparation",0
"Votre code de vérification est 439812",0
"Code d'accès: 5847. Ne le partagez avec personne.",0
"Bonjour Marie le devis est prêt je te l'envoie par mail",0
"Docteur: votre résultat d'analyse est disponible",0
"Pharmacie: votre ordonnance est prête à récupérer",0
"Le concert est à 20h on se retrouve devant l'entrée",0
"Papa je rentre tard ce soir ne m'attendez pas",0
"Bonne fête maman je pense à toi!",0
"L'école est fermée demain journée pédagogique",0
"Votre taxi arrive dans 3 minutes",0
"Uber: Karim arrive dans 2 minutes avec une Peugeot 308",0
"Votre livraison Deliveroo arrive dans 5 minutes",0
"DHL: votre colis a été livré à l'adresse indiquée",0
"La Poste: votre recommandé est disponible au bureau",0
"Chronopost: colis livré signature Martin D.",0
"Bonjour nous confirmons votre réservation pour samedi 19h à 4 personnes",0
"Rappel: RDV chez le garagiste demain 9h",0
"Votre vol AF1234 est à l'heure embarquement 11h30",0
"SNCF: votre train TGV 6789 partira du quai 12",0
"Parking gratuit pendant 2h avec votre achat",0
"Votre abonnement Netflix sera renouvelé le 15/05",0
"Spotify: votre playlist hebdomadaire est prête",0
"Nouvel épisode disponible sur Disney+",0
"Bonjour votre relevé de compte est disponible dans l'application",0
"Banque: virement reçu de Jean Dupont",0
"Votre solde Livret A: 3456.78€",0
"Prélèvement EDF effectué: 87.50€",0
"Loyer prélevé ce jour: 650€",0
"Salaire de mars versé: 2150€",0
"Ameli: consultation remboursée 25€ virée sur votre compte",0
"CAF: allocation versée ce jour",0
"Réunion d'équipe reportée à 14h salle 205",0
"N'oublie pas d'appeler maman pour son anniversaire",0
"Le match commence dans 10 min viens vite!",0
"Soirée chez Sophie samedi à 20h tu viens?",0
"Bonjour Kevin merci pour votre candidature nous vous recontactons bientôt",0
"Cours annulé aujourd'hui prof malade",0
"École: mon fils sera absent demain pour rdv médical",0
"Bibliothèque: votre livre est à rendre avant le 10/05",0
"Centre commercial: vos achats sont prêts au click and collect",0
"Darty: votre commande est disponible en magasin",0
"Fnac: votre livre commandé est en rayon",0
"Amazon: votre commande a été expédiée livraison prévue mercredi",0
"Bonjour à tous on se retrouve à 12h au resto habituel",0
"Pense à sortir les poubelles ce soir",0
"Chéri tu peux récupérer les enfants à 17h?",0
"Le paiement de votre cantine a bien été reçu",0
"Votre RDV sera demain à 10h30 merci",0
"Salle de sport: votre cours de yoga commence à 18h",0
"Compteur EDF: relevé effectué ce matin",0
"Pôle emploi: votre actualisation est bien enregistrée",0
"Impôts: votre avis est consultable sur impots.gouv.fr",0
"CAF: votre versement mensuel sera effectué le 5",0
"Ameli: téléchargez votre attestation de sécurité sociale",0
"Votre commande 12345 sera livrée demain entre 9h et 12h",0
"Pizza livrée dans 20 minutes merci pour votre commande",0
"SNCF: votre e-billet est disponible dans votre compte",0
"Ryanair: enregistrement en ligne ouvert pour votre vol",0
"Air France: votre réservation a bien été prise en compte",0
"Booking: votre réservation à Paris est confirmée",0
"Airbnb: votre hôte a validé votre séjour",0
"Restaurant La Bonne Fourchette confirme votre réservation ce soir",0
"Médecin de garde disponible ce weekend au 15",0
"Votre ordonnance est disponible en pharmacie",0
"Laboratoire: résultats disponibles sur votre espace patient",0
"Dentiste: pensez à prendre rendez-vous pour votre contrôle annuel",0
"Votre lettre recommandée est disponible au bureau de poste",0
"Taxi G7 arrive dans 5 minutes plaque AB-123-CD",0
"Votre cours de piano a lieu demain 17h avec M. Durand",0
"Club de foot: entraînement mercredi 18h au stade",0
"École de danse: spectacle de fin d'année samedi 14h",0
"Votre boulangère vous informe: fermeture exceptionnelle demain",0
"Mairie: inscription cantine ouverte jusqu'au 20/05",0
"Crèche: pensez à signer le carnet de santé de votre enfant",0
"Hôpital: rendez-vous IRM confirmé le 12/05 à 9h30",0
"Kiné: votre prochaine séance est prévue jeudi 14h",0
"Ophtalmologue: RDV contrôle annuel à reprendre",0
"Syndicat copropriété: AG le 15 juin à 19h",0
"EDF: facture disponible dans votre espace client",0
"Engie: relevé de consommation ce mois",0
"Veolia: intervention prévue demain matin",0
"Orange: votre box sera livrée mercredi entre 14h et 17h",0
"Free: activation de votre ligne prévue vendredi",0
"Bouygues: votre forfait a été renouvelé comme convenu",0
"Bonjour comment ça va?",0
"Merci pour votre achat. Livraison prévue lundi",0
"Votre code de vérification: 123456",0
"Réunion reportée à 15h. A tout à l'heure",0
"Papa rentre tard ce soir. Bisous",0
"N'oublie pas le pain. Merci",0
"Joyeux anniversaire! Gros bisous",0
"Le train a 10min de retard. J'arrive bientôt",0
"Super soirée hier! On remet ça quand?",0
"Rappelle-moi quand tu peux",0
"J'ai reçu le colis. Merci beaucoup!",0
"Rendez-vous confirmé pour le 15/02 à 10h",0
"Bon courage pour ton exam!",0
"Tu veux qu'on mange ensemble ce midi?",0
"PROMO -50% sur tout le site jusqu'à dimanche",0
"Votre commande #12345 est expédiée",0
"Cours annulé demain matin",0
"Ta pizza arrive dans 15min",0
"Soldes d'hiver: jusqu'à -70% en magasin",0
"Salut! Ça te dit un ciné ce weekend?",0
"J'ai trouvé ton portefeuille. Appelle-moi",0
"Le médecin peut te recevoir à 16h30",0
"Promo McDo: 2 menus achetés = 1 offert",0
"Ton colis Amazon arrive aujourd'hui entre 14h-18h",0
"Confirmation réservation hôtel du 20 au 25 mars",0
"Joyeuses fêtes! Bisous de toute la famille",0
"Vol AF1234 décollage à l'heure. Bon voyage!",0
"Pharmacie de garde ce weekend: Pharmacie Centrale",0
"Météo: risque d'orages cet après-midi",0
"Match ce soir 21h. On se retrouve au bar?",0
"Ton compte Spotify Premium est renouvelé",0
"Rdv coiffeur samedi 10h. N'oublie pas!",0
"Le garagiste a fini la révision. Tu peux passer",0
"Bonne année 2026! Santé et bonheur",0
"Votre colis Chronopost n°12345 est en cours de livraison. Il sera déposé dans votre boîte aux lettres.",0
"Le livreur est en route avec votre commande Amazon. Code d'accès requis ?",0
"Votre livraison est prévue entre 14h et 16h aujourd'hui.",0
"Chronopost: Votre colis a été livré au point relais choisi.",0
"La Poste: Votre colis est bien arrivé. Bonne réception !",0
"Votre livraison Chronopost attend ici en bas venez le récupérer.",0
"Merci pour votre achat",0
"Votre facture est disponible",0
"Compte vérifié avec succès",0
"Votre rendez-vous est confirmé",0
"Votre paiement a été confirmé",0
"Transaction réussie",0
"Bienvenue sur notre plateforme",0
"Votre commande a été expédiée",0
"Ta voiture est prête au garage de Martin",0
"Le plombier passe demain vers 10h",0
"N'oublie pas ton sac de sport ce soir",0
"Le colis est devant la porte",0
"Bon appétit mon cœur à ce soir",0
"J'arrive dans 5 minutes attends-moi",0
"La réunion est annulée cet après-midi",0
"Félicitations pour le poste! Bien mérité",0
"Le bébé dort enfin, ouf!",0
"Tu peux passer à la pharmacie stp?",0
"On se retrouve au cinéma à 20h?",0
"Rdv avec l'avocat jeudi 16h",0
"Pense à arroser les plantes",0
"Désolé j'ai raté ton appel, je te rappelle",0
"Tu as pensé à faire les courses?",0
"Bonne chance pour ta présentation!",0
"Le chien a besoin de sortir",0
"Le train arrive gare de Lyon à 18h45",0
"Félicitations aux mariés!",0
"La baby-sitter arrive à 19h comme prévu",0
"Ton virement est bien arrivé merci",0
"J'ai oublié mes clés tu peux m'ouvrir?",0
"Soirée jeu de société chez nous vendredi?",0
"Le four est en panne il faut appeler le réparateur",0
"Mamie est arrivée à la gare à l'heure",0
"Votre bulletin de paie est disponible en ligne",0
"Mon Compte Formation: votre formation est validée",0
"Impôts: déclaration préremplie disponible sur impots.gouv.fr",0
"Votre nouveau permis de conduire est à retirer en préfecture",0
"Mairie: votre carte d'identité est prête",0
"CAF: pensez à déclarer vos ressources trimestrielles",0
"Ameli: votre carte vitale a été renouvelée automatiquement",0
"Votre courrier recommandé est disponible en mairie",0
"Pôle Emploi: votre convocation conseiller le 15/05 à 10h",0
"Votre attestation de droits Ameli est téléchargeable",0
"La Sécurité sociale vous a remboursé 42.30€ ce jour",0
